""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV10277"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"	NA	NA
"ASV10278"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"Lewinella"	NA
"ASV10279"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	NA	NA	NA
"ASV10280"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Cellvibrionaceae"	"Agaribacterium"	NA
"ASV10281"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Peredibacter"	NA
"ASV10282"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	NA	NA	NA
"ASV10283"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Fokiniaceae"	"MD3-55"	NA
"ASV10284"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Magnetospiraceae"	NA	NA
"ASV10285"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Cellvibrionaceae"	NA	NA
"ASV10286"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Halieaceae"	"Parahaliea"	NA
"ASV10287"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	NA	NA
"ASV10288"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Coxiellales"	"Coxiellaceae"	"Coxiella"	NA
"ASV10289"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV10290"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Macellibacteroides"	NA
"ASV10291"	"Bacteria"	"Desulfobacterota"	"Desulfobulbia"	"Desulfobulbales"	"Desulfocapsaceae"	"Desulfotalea"	NA
"ASV10293"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	NA	NA	NA
"ASV10311"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"ASV10312"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bacteriovoracales"	"Bacteriovoracaceae"	NA	NA
"ASV10313"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	NA	NA
"ASV10314"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Cellvibrionaceae"	"Agarilytica"	NA
"ASV10315"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"ASV10316"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Nitrosococcales"	"Nitrosococcaceae"	NA	NA
"ASV10317"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Fluviicola"	NA
"ASV10318"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Microcystaceae"	NA	NA
"ASV10319"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Crocinitomix"	NA
"ASV10320"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"ASV10321"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	NA	NA
"ASV10322"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Vibrionaceae"	"Vibrio"	"ponticus"
"ASV10323"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Spongiibacteraceae"	"Spongiibacter"	NA
"ASV10324"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Coxiellales"	"Coxiellaceae"	"Coxiella"	NA
"ASV10325"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Parvularculaceae"	"Marinicaulis"	NA
"ASV10328"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Vibrionaceae"	"Vibrio"	NA
"ASV10329"	"Bacteria"	"Acidobacteriota"	"Subgroup 22"	NA	NA	NA	NA
"ASV10331"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bacteriovoracales"	"Bacteriovoracaceae"	NA	NA
"ASV10332"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"DEV007"	NA	NA
"ASV10333"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"ASV10334"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Peribacteria"	NA	NA	NA
"ASV10335"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Acanthopleuribacter"	NA
"ASV10336"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	NA	NA
"ASV10337"	"Bacteria"	"Marinimicrobia (SAR406 clade)"	NA	NA	NA	NA	NA
"ASV10338"	"Bacteria"	"Marinimicrobia (SAR406 clade)"	NA	NA	NA	NA	NA
"ASV10339"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Candidatus Thiobios"	NA
"ASV10340"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	NA	NA	NA
