""	"date"	"site"	"depth"	"depthtype"	"Library"	"Sequences"	"depth_m"	"monthyear"	"yearmonth"	"prehurricane"	"disease"	"disturbance"	"temp"	"salinity"	"npoc"	"tn"	"po4"	"no2no3"	"silicate"	"no2"	"nh4"	"Chl"	"Phaeo"	"pro"	"syn"	"peuk"	"hbact"	"BleachCoral"	"CCA"	"CYAN"	"DiseasedCoral"	"HardCoral"	"Macroalgae"	"Other"	"Ramicrusta"	"SoftCoral"	"Sponge"	"Substrate"	"TurfAlgae"	"is.neg"
"1116"	"6/25/22"	"Cocoloba"	"Benthic"	"benthic"	"H2"	" 45372"	" 6.50"	"2022June"	"2022-06"	"No"	"Yes"	"disease"	NA	NA	" 69.900"	" 5.200"	"0.0800"	" 0.3000"	" 0.3000"	" 0.0300"	" 0.2900"	"0.15463747"	"0.07373479"	NA	NA	NA	NA	"0.01"	"0.03000000"	"0.00000000"	"0.00000000"	"0.04000000"	"0.23750000"	"0.01500000"	"0.07333333"	"0.03500000"	"0.02000000"	"0.2175000"	"0.41500000"	"FALSE"
"549"	"4/11/18"	"Yawzi"	"Surface"	"surface"	"H2"	" 55868"	" 0.50"	"2018April"	"2018-04"	"No"	"No"	"hurricane"	"27.64000"	"36.48000"	" 84.339"	" 7.435"	"0.1754"	" 0.1229"	" 1.5816"	" 0.0237"	" 0.2983"	NA	NA	" 52734"	" 90872"	" 1153"	" 713405"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"269"	"3/26/17"	"Joels Shoal"	"Surface"	"surface"	"H2"	" 59658"	" 0.50"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.49000"	"36.70000"	" 74.500"	" 5.702"	"0.1839"	" 0.2468"	" 1.2425"	" 0.0522"	" 0.1420"	NA	NA	" 15905"	" 70650"	" 1927"	" 619453"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"910b"	"1/18/21"	"Ram Head"	"Benthic"	"benthic"	"H2"	" 42038"	" 7.00"	"2021January"	"2021-01"	"No"	"Yes"	"disease"	"26.65000"	"35.65000"	" 78.200"	" 8.500"	"0.0823"	" 0.1134"	" 0.4213"	" 0.0308"	" 0.5419"	"0.34377574"	"0.14372725"	" 17648"	" 69016"	" 1379"	" 718821"	"0.00"	"0.06000000"	"0.03333333"	"0.00000000"	"0.11750000"	"0.15500000"	"0.05000000"	"0.08500000"	"0.09500000"	"0.16750000"	"0.0725000"	"0.18750000"	"FALSE"
"USVI20"	"6/10/16"	"Yawzi"	"Surface"	"surface"	"L2"	" 62112"	" 0.50"	"2016June"	"2016-06"	"Yes"	"No"	"historic"	"28.88000"	"36.38000"	" 76.968"	" 4.557"	"0.0409"	" 0.0961"	" 1.0213"	" 0.0023"	" 0.0955"	"0.13500000"	NA	" 65798"	" 49402"	" 1209"	" 619664"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"449"	"11/28/17"	"Cocoloba"	"Benthic"	"benthic"	"G2"	" 69966"	" 9.00"	"2017November"	"2017-11"	"No"	"No"	"hurricane"	"28.11000"	"34.75000"	" 72.785"	" 8.406"	"0.1586"	" 0.3347"	" 2.3054"	" 0.0428"	" 0.0784"	"0.16030887"	"0.10619613"	" 56967"	" 32048"	"  703"	" 510638"	"0.01"	"0.00000000"	"0.00000000"	"0.01000000"	"0.14166667"	"0.45166667"	"0.03500000"	"0.00000000"	"0.02666667"	"0.03600000"	"0.2300000"	"0.10500000"	"FALSE"
"1062"	"10/25/21"	"Booby Rock"	"Benthic"	"benthic"	"G2"	" 61493"	"14.00"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.41529"	"34.27755"	"293.300"	" 7.700"	"0.1000"	" 0.2000"	" 3.3000"	" 0.0100"	" 0.3800"	"0.13245840"	"0.05788669"	" 42150"	" 38289"	" 1182"	" 761000"	"0.00"	"0.03750000"	"0.03000000"	"0.00000000"	"0.06000000"	"0.12250000"	"0.02500000"	"0.12750000"	"0.17250000"	"0.08750000"	"0.0975000"	"0.26250000"	"FALSE"
"1127"	"6/27/22"	"Yawzi"	"Surface"	"surface"	"H2"	" 59205"	" 0.50"	"2022June"	"2022-06"	"No"	"Yes"	"disease"	NA	NA	" 75.700"	" 7.200"	"0.0800"	" 0.0000"	" 0.7000"	" 0.0100"	" 0.3900"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"340"	"7/27/17"	"Joels Shoal"	"Surface"	"surface"	"G2"	" 58676"	" 0.50"	"2017July"	"2017-07"	"Yes"	"No"	"historic"	"29.20000"	"34.93000"	" 81.019"	" 9.472"	"0.1518"	" 0.2105"	" 2.2374"	" 0.0309"	" 0.1597"	NA	NA	"122470"	" 23147"	" 1617"	" 866798"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"585"	"4/13/18"	"Dittlif"	"Surface"	"surface"	"H2"	" 66699"	" 0.50"	"2018April"	"2018-04"	"No"	"No"	"hurricane"	"27.31000"	"36.53000"	" 71.542"	" 7.050"	"0.1826"	" 0.2080"	" 1.2655"	" 0.0397"	" 0.1801"	NA	NA	"  8789"	" 37280"	"  478"	" 549169"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"USVI185"	"10/29/16"	"Yawzi"	"Surface"	"surface"	"L2"	" 58757"	" 0.50"	"2016October"	"2016-10"	"Yes"	"No"	"historic"	"29.65000"	"35.75000"	"115.114"	" 7.331"	"0.0499"	" 0.0262"	" 1.2538"	" 0.0239"	" 0.0525"	NA	NA	" 35381"	" 94275"	" 2081"	" 869977"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"840"	"8/8/20"	"Ram Head"	"Surface"	"surface"	"H2"	" 60991"	" 0.50"	"2020August"	"2020-08"	"No"	"Yes"	"disease"	"29.82000"	"35.90000"	" 77.700"	" 9.400"	"0.0569"	" 0.2543"	" 1.7583"	" 0.0266"	" 0.3392"	"0.18759805"	"0.07706620"	" 29702"	" 60205"	"  551"	" 700437"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"452"	"11/28/17"	"Cocoloba"	"Benthic"	"benthic"	"G2"	" 63893"	" 9.00"	"2017November"	"2017-11"	"No"	"No"	"hurricane"	"28.11000"	"34.75000"	" 72.785"	" 8.406"	"0.1586"	" 0.3347"	" 2.3054"	" 0.0428"	" 0.0784"	"0.16030887"	"0.10619613"	" 56967"	" 32048"	"  703"	" 510638"	"0.01"	"0.00000000"	"0.00000000"	"0.01000000"	"0.14166667"	"0.45166667"	"0.03500000"	"0.00000000"	"0.02666667"	"0.03600000"	"0.2300000"	"0.10500000"	"FALSE"
"637"	"11/6/18"	"Sand patch"	"Benthic"	"benthic"	"H2"	" 61872"	" 9.90"	"2018November"	"2018-11"	"No"	"No"	"hurricane"	"28.18000"	"33.01000"	" 87.846"	" 3.730"	"0.1341"	" 0.3787"	" 3.1141"	" 0.0016"	" 0.0887"	"0.30683322"	"0.18986004"	"115566"	" 73997"	" 1913"	" 925059"	"0.00"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.02000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.9866667"	"0.00000000"	"FALSE"
"537"	"4/11/18"	"Tektite"	"Surface"	"surface"	"H2"	" 52528"	" 0.50"	"2018April"	"2018-04"	"No"	"No"	"hurricane"	"27.34000"	"36.49000"	" 76.788"	" 6.520"	"0.1917"	" 0.0471"	" 1.4231"	" 0.0218"	" 0.1504"	NA	NA	" 44142"	" 83714"	" 1378"	" 620184"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"534"	"4/11/18"	"Ram Head"	"Benthic"	"benthic"	"H2"	" 59786"	" 6.80"	"2018April"	"2018-04"	"No"	"No"	"hurricane"	"27.26000"	"36.30000"	" 80.284"	" 6.790"	"0.1672"	" 0.0837"	" 1.4226"	" 0.0284"	" 0.1197"	"0.16898802"	"0.07452323"	" 39417"	" 83995"	"  998"	" 528863"	"0.00"	"0.06000000"	"0.05000000"	"0.01000000"	"0.09166667"	"0.16833333"	"0.07250000"	"0.17600000"	"0.05166667"	"0.04200000"	"0.3450000"	"0.11200000"	"FALSE"
