""	"date"	"site"	"depth"	"depthtype"	"Library"	"Sequences"	"depth_m"	"monthyear"	"yearmonth"	"prehurricane"	"disease"	"disturbance"	"temp"	"salinity"	"npoc"	"tn"	"po4"	"no2no3"	"silicate"	"no2"	"nh4"	"Chl"	"Phaeo"	"pro"	"syn"	"peuk"	"hbact"	"BleachCoral"	"CCA"	"CYAN"	"DiseasedCoral"	"HardCoral"	"Macroalgae"	"Other"	"Ramicrusta"	"SoftCoral"	"Sponge"	"Substrate"	"TurfAlgae"	"is.neg"
"1050"	"10/23/21"	"Ram Head"	"Benthic"	"benthic"	"F2"	" 54795"	" 6.90"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.31794"	"34.44338"	" 89.200"	" 9.200"	"0.0900"	" 0.2000"	" 1.7000"	" 0.0200"	" 0.2400"	"0.24448869"	"0.16593034"	" 40141"	" 69016"	" 1760"	" 766000"	"0.00"	"0.06666667"	"0.02000000"	"0.00000000"	"0.05000000"	"0.14750000"	"0.04750000"	"0.23000000"	"0.07000000"	"0.05250000"	"0.1700000"	"0.20250000"	"FALSE"
"808"	"8/6/20"	"Yawzi"	"Benthic"	"benthic"	"H2"	" 59498"	" 8.40"	"2020August"	"2020-08"	"No"	"Yes"	"disease"	NA	NA	" 80.600"	" 8.000"	"0.0575"	"-0.0050"	" 1.4052"	" 0.0227"	" 0.2312"	"0.22517927"	"0.06730626"	" 39117"	" 63094"	"  932"	" 632906"	"0.00"	"0.06000000"	"0.01000000"	"0.01666667"	"0.15166667"	"0.18666667"	"0.02800000"	"0.17833333"	"0.03666667"	"0.06000000"	"0.1266667"	"0.16333333"	"FALSE"
"USVI201"	"10/29/16"	"Yawzi"	"Surface"	"surface"	"L2"	" 61198"	" 0.50"	"2016October"	"2016-10"	"Yes"	"No"	"historic"	"29.65000"	"35.75000"	"108.746"	" 5.903"	"0.0304"	" 0.1849"	" 1.2725"	" 0.0326"	" 0.0088"	NA	NA	" 37153"	" 91167"	" 1406"	" 787106"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"290"	"3/27/17"	"Dittlif"	"Surface"	"surface"	"H2"	" 55424"	" 0.50"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.61000"	"36.70000"	" 71.851"	" 5.523"	"0.1734"	" 0.2521"	" 0.9798"	" 0.0133"	" 0.2688"	NA	NA	" 21938"	" 67570"	" 2264"	" 422367"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"1003"	"10/20/21"	"Europa"	"Benthic"	"benthic"	"G2"	" 59802"	" 7.10"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.93186"	"35.09782"	" 92.800"	" 8.500"	"0.1200"	" 0.5000"	" 1.4000"	" 0.0300"	" 0.4600"	"0.37735240"	"0.14139449"	"     0"	" 84116"	" 2902"	"1060000"	"0.00"	"0.01000000"	"0.10500000"	"0.02000000"	"0.05500000"	"0.41250000"	"0.01500000"	"0.03666667"	"0.02250000"	"0.05000000"	"0.1375000"	"0.18750000"	"FALSE"
"955"	"1/24/21"	"Yawzi"	"Surface"	"surface"	"F2"	" 50316"	" 0.50"	"2021January"	"2021-01"	"No"	"Yes"	"disease"	"26.97000"	"35.85000"	" 79.600"	" 7.600"	"0.0825"	" 0.0537"	" 0.6522"	"-0.0024"	" 0.8767"	NA	NA	" 18068"	" 72088"	" 1405"	" 735168"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"618"	"11/5/18"	"Booby Rock"	"Surface"	"surface"	"H2"	" 58750"	" 0.50"	"2018November"	"2018-11"	"No"	"No"	"hurricane"	"28.65000"	"33.12000"	" 87.994"	" 3.724"	"0.1509"	" 0.8755"	" 3.5985"	" 0.0084"	" 0.0456"	NA	NA	" 90788"	" 22430"	"  984"	" 884475"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"249"	"3/25/17"	"Tektite"	"Surface"	"surface"	"F2"	" 58921"	" 0.50"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.57000"	"36.68000"	" 76.803"	" 6.212"	"0.1762"	" 0.2785"	" 1.3567"	" 0.0469"	" 0.1494"	NA	NA	" 25594"	" 65559"	" 1406"	" 637284"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"1014"	"10/21/21"	"Dittlif"	"Benthic"	"benthic"	"H2"	" 68266"	" 7.50"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.78160"	"34.89886"	" 72.100"	" 7.100"	"0.1000"	" 0.7000"	" 0.8000"	" 0.0500"	" 0.3100"	"0.23854833"	"0.12335418"	"  9585"	" 50291"	" 1628"	" 632000"	"0.00"	"0.03333333"	"0.00000000"	"0.00000000"	"0.10000000"	"0.24000000"	"0.02000000"	"0.02000000"	"0.07750000"	"0.02250000"	"0.2300000"	"0.28500000"	"FALSE"
"810"	"8/6/20"	"Yawzi"	"Benthic"	"benthic"	"G2"	" 54873"	" 8.40"	"2020August"	"2020-08"	"No"	"Yes"	"disease"	NA	NA	" 80.600"	" 8.000"	"0.0575"	"-0.0050"	" 1.4052"	" 0.0227"	" 0.2312"	"0.22579536"	"0.07217851"	" 39117"	" 63094"	"  932"	" 632906"	"0.00"	"0.06000000"	"0.01000000"	"0.01666667"	"0.15166667"	"0.18666667"	"0.02800000"	"0.17833333"	"0.03666667"	"0.06000000"	"0.1266667"	"0.16333333"	"FALSE"
