	reads.in	reads.out	derepF	derepR	merged	nochim	readslost	percentlost	Losses		
USVI54	71220	62548	61707	61834	60363	60135	11085	16%			
USVI55	47056	39884	38535	38629	36818	36779	10277	22%			
USVI56	61003	54160	53324	53458	52070	51950	9053	15%			
USVI57	56894	50108	49402	49461	48200	47999	8895	16%			
USVI58	48921	42044	40665	40739	39179	39142	9779	20%			
USVI59	61756	53687	52798	52869	51099	51099	10657	17%			
USVI61	61467	53246	52230	52401	50557	50543	10924	18%			
USVI62	57846	50560	49514	49744	48066	48047	9799	17%			
USVI63	46873	40999	40276	40446	39289	39289	7584	16%			
USVI64	51117	44525	43611	43617	42294	42291	8826	17%			
USVI65	60250	53010	52102	52227	50745	50684	9566	16%			
USVI84	49812	43713	43084	43122	41942	41816	7996	16%			
USVI85	37582	32993	32376	32333	31352	31347	6235	17%			
USVI87	55112	48113	47507	47558	46150	46060	9052	16%			
USVI88	56031	48982	48353	48310	47107	46997	9034	16%			
USVI91	56099	49589	48915	48910	47557	47412	8687	15%			
USVI92	61104	53852	53159	53159	52015	51949	9155	15%			
USVI94	52473	45980	45460	45392	43923	43706	8767	17%			
ControlA	57670	4748	4607	4671	4434	3273	54397	94%			
ControlB	21730	1809	1688	1721	1512	1512	20218	93%			
ControlC	23662	2440	2341	2349	2266	1737	21925	93%			
ControlD	839	328	280	278	265	265	574	68%			
ControlE	985	391	298	300	268	268	717	73%			
ControlF	1423	468	402	375	332	332	1091	77%			
ControlG	566	226	179	173	153	153	413	73%			
ControlH	1312	538	432	418	269	269	1043	79%			
ControlI	1218	361	284	273	247	247	971	80%			
ControlJ	709	303	249	248	227	227	482	68%			
ControlK	1415	552	482	464	430	430	985	70%			
ControlL	876	298	229	227	196	196	680	78%			
ControlM	1327	542	462	460	421	421	906	68%			
ControlN	2079	621	511	530	438	438	1641	79%			
MockEF2	96607	53221	52925	53062	52582	52324	44283	46%			
MockEG2	105213	74472	74118	74267	69749	68480	36733	35%			
MockEH2	94919	68444	68178	68287	67178	66212	28707	30%			
