	date	site	depth	depthtype	Library	Sequences	depth_m	monthyear	yearmonth	prehurricane	disease	disturbance	temp	salinity	npoc	tn	po4	no2no3	silicate	no2	nh4	Chl	Phaeo	pro	syn	peuk	hbact	BleachCoral	CCA	CYAN	DiseasedCoral	HardCoral	Macroalgae	Other	Ramicrusta	SoftCoral	Sponge	Substrate	TurfAlgae	is.neg
USVI27	2016-06-10	Tektite	Surface	surface	L2	62606	0.5	2016June	2016-06	Yes	No	historic	28.59	36.24	75.217	6.425	0.0648	0.2435	1.2261	0.0313	0.1988	0.152	NA	40655	41048	900	471080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
910	2021-01-18	Ram Head	Benthic	benthic	H2	58789	7	2021January	2021-01	No	Yes	disease	26.65	35.65	78.2	8.5	0.0823	0.1134	0.4213	0.0308	0.5419	0.34377574	0.14372725	17648	69016	1379	718821	0	0.06	0.03333333	0	0.1175	0.155	0.05	0.085	0.095	0.1675	0.0725	0.1875	FALSE
671	2018-11-06	Joels Shoal	Surface	surface	H2	61966	0.5	2018November	2018-11	No	No	hurricane	28.54	33.14	88.023	5.578	0.1786	1.2727	3.4183	0.0232	0.1195	NA	NA	109673	111502	1688	820983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1052	2021-10-23	Ram Head	Surface	surface	H2	61473	0.5	2021October	2021-10	No	Yes	disease	29.29664	34.36653	87.3	7.8	0.07	0.1	3	0.01	0.21	NA	NA	51486	82961	1956	912000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
880	2020-08-10	Booby Rock	Benthic	benthic	F2	56673	11	2020August	2020-08	No	Yes	disease	29.37	35.83	76.6	6.9	0.0695	0.2897	2.092	0.0326	0.3582	0.20823692	0.07011268	31672	27312	709	561933	0.01	0.0275	0.315	0.05666667	0.048	0.1	0.16	0.375	0.062	0.04	0.06	0.0875	FALSE
808b	2020-08-06	Yawzi	Benthic	benthic	H2	60171	8.4	2020August	2020-08	No	Yes	disease	NA	NA	80.6	8	0.0575	-0.005	1.4052	0.0227	0.2312	0.22517927	0.06730626	39117	63094	932	632906	0	0.06	0.01	0.01666667	0.15166667	0.18666667	0.028	0.17833333	0.03666667	0.06	0.1266667	0.16333333	FALSE
483	2017-11-29	Europa	Surface	surface	H2	55117	0.5	2017November	2017-11	No	No	hurricane	28.18	34.62	75.784	7.24	0.1572	0.1985	2.0215	0.0238	0.1919	NA	NA	24694	49036	731	573525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI119	2016-10-28	Dittlif	Benthic	benthic	L2	53895	8.41	2016October	2016-10	Yes	No	historic	29.51	35.73	87.695	5.512	0.0542	0.3764	1.2634	0.0257	0.0525	0.25	NA	19842	62747	1392	632573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI26	2016-06-10	Europa	Surface	surface	L2	60414	0.5	2016June	2016-06	Yes	No	historic	28.78	36.46	82.128	5.311	0.0332	0.0167	1.0209	0.0057	0.0099	0.466	NA	67613	54253	788	564230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
845	2020-08-08	Tektite	Benthic	benthic	G2	56990	13	2020August	2020-08	No	Yes	disease	29.4	35.79	77.5	7.7	0.0612	0.0975	1.8609	0.0151	0.4648	0.16896146	0.07698227	40285	24515	499	529815	0	0.034	0.05666667	0.01	0.24833333	0.36	0.01	0.10666667	0.02333333	0.025	0.08	0.09333333	FALSE
