	date	site	depth	depthtype	Library	Sequences	depth_m	monthyear	yearmonth	prehurricane	disease	disturbance	temp	salinity	npoc	tn	po4	no2no3	silicate	no2	nh4	Chl	Phaeo	pro	syn	peuk	hbact	BleachCoral	CCA	CYAN	DiseasedCoral	HardCoral	Macroalgae	Other	Ramicrusta	SoftCoral	Sponge	Substrate	TurfAlgae	is.neg
1119	2022-06-25	Cocoloba	Benthic	benthic	H2	57882	6.5	2022June	2022-06	No	Yes	disease	NA	NA	69.9	5.2	0.08	0.3	0.3	0.03	0.29	0.22764361	0.09084536	NA	NA	NA	NA	0.01	0.03	0	0	0.04	0.2375	0.015	0.07333333	0.035	0.02	0.2175	0.415	FALSE
USVI85	2016-06-12	Ram Head	Benthic	benthic	L2	31364	10.7	2016June	2016-06	Yes	No	historic	28.58	36.28	73.984	4.784	0.0202	0.0967	1.5123	0.0122	0.0575	0.174	NA	92953	39825	1631	634205	0	0	0.055	0	0.075	0.23833333	0.04	0	0.08	0.03666667	0.47	0.145	FALSE
USVI186	2016-10-29	Yawzi	Benthic	benthic	L2	52874	11.25	2016October	2016-10	Yes	No	historic	29.53	35.75	89.163	6.425	0.1024	0.8772	1.6651	0.0581	0.3063	0.363	NA	27366	50977	1702	482695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI134	2016-10-28	Sand patch	Benthic	benthic	L2	54595	9.7	2016October	2016-10	Yes	No	historic	29.64	35.77	131.822	3.9	0.0308	0.0538	1.3013	0.0272	0.035	0.317	NA	31683	122316	1772	830025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
944	2021-01-20	Europa	Benthic	benthic	F2	42717	9	2021January	2021-01	No	Yes	disease	26.67	35.69	75.9	7.8	0.0787	0.2673	0.5812	0.0221	0.5963	0.16763688	0.06495719	11555	51867	1064	659259	0	0	0.025	0.02	0.0775	0.43	0.02	0	0.0425	0.115	0.13	0.1825	FALSE
USVI87	2016-06-12	Ram Head	Benthic	benthic	L2	46149	10.7	2016June	2016-06	Yes	No	historic	28.58	36.28	75.159	5.951	0.0174	0.14	1.3623	-0.0011	0.0847	0.174	NA	90563	41808	1842	663553	0	0	0.055	0	0.075	0.23833333	0.04	0	0.08	0.03666667	0.47	0.145	FALSE
355	2017-07-27	Tektite	Surface	surface	H2	72102	0.5	2017July	2017-07	Yes	No	historic	29.52	34.89	79.212	8.978	0.1577	0.2367	2.3584	0.0378	0.2806	NA	NA	111347	17480	1055	848194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
347	2017-07-26	Sand patch	Surface	surface	G2	49358	0.5	2017July	2017-07	Yes	No	historic	28.99	35.03	89.978	7.572	0.1636	0.1936	1.9333	0.0236	0.0976	NA	NA	84178	48248	1716	658167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
547	2018-04-11	Yawzi	Surface	surface	G2	51713	0.5	2018April	2018-04	No	No	hurricane	27.64	36.48	84.339	7.435	0.1754	0.1229	1.5816	0.0237	0.2983	NA	NA	52734	90872	1153	713405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
474	2017-11-29	Joels Shoal	Benthic	benthic	F2	40973	9.44	2017November	2017-11	No	No	hurricane	28.03	34.8	NA	NA	0.1562	0.0093	2.6404	0.0195	0.045	0.14537564	0.0817555	48192	35100	717	480431	0.01	0.03	0.15	0	0.18166667	0.155	0.0325	0	0.20833333	0.065	0.275	0.155	FALSE
542	2018-04-11	Ram Head	Surface	surface	G2	59188	0.5	2018April	2018-04	No	No	hurricane	27.31	36.28	74.165	6.514	0.1688	0.0667	1.2653	0.0222	0.1004	NA	NA	67359	58528	1223	533123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
52	2016-06-11	Joels Shoal	Benthic	benthic	F2	71668	9.76	2016June	2016-06	Yes	No	historic	28.63	36.42	69.991	4.59	0.0251	0.0657	1.3929	0.0177	-0.0062	0.166	NA	77316	42244	1730	587770	0	0.01	0.01	0	0.17166667	0.024	0.098	0	0.085	0.06833333	0.5683333	0	FALSE
1136	2022-06-27	Tektite	Surface	surface	H2	56447	0.5	2022June	2022-06	No	Yes	disease	NA	NA	76	4.6	0.09	0	0.5	0.01	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1045	2021-10-23	Tektite	Benthic	benthic	G2	60195	9.2	2021October	2021-10	No	Yes	disease	29.30964	34.32814	89.9	9	0.08	0.2	1.9	0.02	0.36	0.16986848	0.11120614	31356	46273	1838	617000	0	0.01	0.125	0	0.135	0.3	0.0375	0.0725	0.03	0.0575	0.1675	0.10333333	FALSE
USVI62	2016-06-11	Dittlif	Surface	surface	L2	48106	0.5	2016June	2016-06	Yes	No	historic	28.66	36.43	79.89	6.279	0.0339	0.2109	1.4288	0.02	0.1612	0.132	NA	49092	31823	998	595856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1159	2022-06-29	Europa	Benthic	benthic	H2	61046	7.4	2022June	2022-06	No	Yes	disease	NA	NA	70.6	4.7	0.14	0.2	0.8	0.01	0.38	0.27518488	0.10766912	NA	NA	NA	NA	0	0	0	0	0.0875	0.36	0.015	0.05333333	0.035	0.0475	0.2325	0.25333333	FALSE
380	2017-07-28	Cocoloba	Benthic	benthic	F2	44366	7.53	2017July	2017-07	Yes	No	historic	29.33	35.07	76.72	3.256	0.1653	0.1805	2.0307	0.0561	0.1022	0.17728426	0.10309831	62184	36366	2334	753469	0	0.03	0.03	0	0.065	0.46333333	0.015	0.01	0.05166667	0.01	0.31	0.08333333	FALSE
268	2017-03-26	Sand patch	Surface	surface	G2	47378	0.5	2017March	2017-03	Yes	No	historic	26.46	36.71	86.286	6.466	0.1687	0.1919	1.1806	0.0299	0.0903	NA	NA	19364	66994	1420	504591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
844	2020-08-08	Ram Head	Surface	surface	F2	47800	0.5	2020August	2020-08	No	Yes	disease	29.82	35.9	77.7	9.4	0.0569	0.2543	1.7583	0.0266	0.3392	0.24612618	0.07560338	29702	60205	551	700437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
314	2017-03-28	Europa	Surface	surface	F2	56790	0.5	2017March	2017-03	Yes	No	historic	26.9	36.68	82.716	6.073	0.165	0.0966	0.9736	0.0015	0.1657	NA	NA	44255	96356	1786	403341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
488	2017-11-29	Yawzi	Benthic	benthic	G2	55152	5.24	2017November	2017-11	No	No	hurricane	28.2	34.8	76.813	7.923	0.1863	0.1155	2.319	0.0153	0.1461	0.68597137	0.2689177	56700	83377	1406	773705	0	0.03333333	0	0	0.12333333	0.295	0.0225	0	0.06	0.07833333	0.2716667	0.14	FALSE
USVI91	2016-06-12	Booby Rock	Benthic	benthic	L2	47511	13.09	2016June	2016-06	Yes	No	historic	28.62	36.34	73.045	4.817	0.0226	0.0518	1.2237	0.0215	0.0251	0.17	NA	70566	27745	1111	512452	0	0.01	0.03	0	0.16166667	0.078	0.036	0	0.19	0.03	0.5166667	0	FALSE
310	2017-03-28	Yawzi	Surface	surface	F2	48315	0.5	2017March	2017-03	Yes	No	historic	27	36.63	80.624	5.868	0.1812	0.1819	1.1434	0.0188	0.1115	NA	NA	27844	89747	2292	412875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
911	2021-01-18	Booby Rock	Surface	surface	F2	54682	0.5	2021January	2021-01	No	Yes	disease	26.66	35.68	74.4	7.6	0.0787	0.1794	1.012	0.0312	1.5775	NA	NA	20300	70473	1221	757359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI56	2016-06-11	Joels Shoal	Surface	surface	L2	51968	0.5	2016June	2016-06	Yes	No	historic	28.6	36.41	74.513	6.117	0.0191	0.0407	1.0194	0.0141	0.1412	0.171	NA	78525	47995	1406	622153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
611	2018-11-05	Ram Head	Benthic	benthic	G2	53750	10.32	2018November	2018-11	No	No	hurricane	28.61	33.16	82.088	5.041	0.1536	0.9788	3.4386	0.0106	0.0658	0.14228689	0.12180123	70805	16819	802	709622	0	0.02	0.036	0	0.06	0.36	0.022	0.12666667	0.03333333	0.02	0.3933333	0.19	FALSE
543	2018-04-11	Booby Rock	Surface	surface	H2	56352	0.5	2018April	2018-04	No	No	hurricane	27.21	36.45	92.701	16.59	0.1693	-0.008	1.4238	0.0146	0.1094	NA	NA	43805	92264	1097	560770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI205	2016-10-29	Tektite	Surface	surface	L2	61291	0.5	2016October	2016-10	Yes	No	historic	29.64	35.74	113.226	6.525	0.046	0.0315	1.4746	0.0113	0.1313	NA	NA	30361	125452	2236	989072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
863	2020-08-09	Dittlif	Benthic	benthic	F2	56130	8.5	2020August	2020-08	No	Yes	disease	29.49	35.73	72.1	7.5	0.0698	0.4371	2.3811	0.0592	0.2684	0.19234191	0.13526977	16676	14995	630	486536	0	0.04	0.06	0.075	0.1075	0.39	0.01666667	0.03666667	0.0675	0.04	0.1225	0.14	FALSE
907	2021-01-17	Joels Shoal	Benthic	benthic	H2	56114	10	2021January	2021-01	No	Yes	disease	26.79	35.63	80.8	10.3	0.0741	0.0844	2.1116	0.0161	0.5645	0.34593204	0.15551451	20405	71143	1221	774535	0	0.01	0.04	0.05	0.09	0.06	0.08	0.0725	0.2575	0.1925	0.05	0.2075	FALSE
133	2016-10-28	Joels Shoal	Benthic	benthic	H2	60722	14.82	2016October	2016-10	Yes	No	historic	29.52	35.74	92.674	6.387	0.0545	0.1036	1.2826	0.0185	0.105	0.364	NA	29531	105652	1463	746480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1135	2022-06-27	Tektite	Benthic	benthic	G2	72634	9.8	2022June	2022-06	No	Yes	disease	NA	NA	73.9	5.1	0.08	0.1	0.8	0.01	0.36	0.31327951	0.09790832	NA	NA	NA	NA	0.01	0.015	0.01	0	0.245	0.08666667	0.02	0.135	0.09	0.04	0.1675	0.34	FALSE
1002	2021-10-20	Europa	Surface	surface	F2	52201	0.5	2021October	2021-10	No	Yes	disease	30.29704	34.87994	73.7	8.9	0.1	0.6	0.5	0.05	0.51	NA	NA	2285	55530	2035	608000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
514	2017-11-30	Sand patch	Benthic	benthic	G2	43359	7.9	2017November	2017-11	No	No	hurricane	27.93	34.71	123.649	10.058	0.1984	0.2913	2.0317	0.0308	0.5885	0.22490534	0.22386826	27394	31528	773	617302	0	0	0	0	0	0.04333333	0	0	0	0	0.9566667	0	FALSE
359	2017-07-26	Yawzi	Benthic	benthic	H2	63290	10.46	2017July	2017-07	Yes	No	historic	28.9	34.98	73.907	8.374	0.1522	0.2629	2.0632	0.0153	0.0566	0.15864962	0.06537305	68231	45802	1519	645342	0	0.05666667	0.0275	0	0.12833333	0.30666667	0.026	0.02	0.10166667	0.06	0.2216667	0.16	FALSE
907b	2021-01-17	Joels Shoal	Benthic	benthic	H2	58135	10	2021January	2021-01	No	Yes	disease	26.79	35.63	80.8	10.3	0.0741	0.0844	2.1116	0.0161	0.5645	0.34593204	0.15551451	20405	71143	1221	774535	0	0.01	0.04	0.05	0.09	0.06	0.08	0.0725	0.2575	0.1925	0.05	0.2075	FALSE
807	2020-08-06	Yawzi	Surface	surface	G2	62851	0.5	2020August	2020-08	No	Yes	disease	NA	NA	81.3	9.7	0.0573	0.0154	1.7903	0.0207	0.3396	0.20564936	0.04336712	39327	62398	473	588747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI88	2016-06-12	Booby Rock	Benthic	benthic	L2	46633	13.09	2016June	2016-06	Yes	No	historic	28.62	36.34	77.465	4.782	0.0257	0.113	1.5298	0.0166	0.038	0.17	NA	74784	29517	1167	532322	0	0.01	0.03	0	0.16166667	0.078	0.036	0	0.19	0.03	0.5166667	0	FALSE
507	2017-11-30	Sand patch	Surface	surface	H2	44937	0.5	2017November	2017-11	No	No	hurricane	27.98	34.71	75.31	7.622	0.1635	0.1491	2.5288	0.0329	0.2489	NA	NA	44480	48066	1153	622744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
533	2018-04-11	Ram Head	Benthic	benthic	G2	54100	6.8	2018April	2018-04	No	No	hurricane	27.26	36.3	80.284	6.79	0.1672	0.0837	1.4226	0.0284	0.1197	0.16898802	0.07452323	39417	83995	998	528863	0	0.06	0.05	0.01	0.09166667	0.16833333	0.0725	0.176	0.05166667	0.042	0.345	0.112	FALSE
513	2017-11-30	Sand patch	Benthic	benthic	F2	48812	7.9	2017November	2017-11	No	No	hurricane	27.93	34.71	123.649	10.058	0.1984	0.2913	2.0317	0.0308	0.5885	0.22490534	0.22386826	27394	31528	773	617302	0	0	0	0	0	0.04333333	0	0	0	0	0.9566667	0	FALSE
1138	2022-06-27	Yawzi	Benthic	benthic	F2	51177	11.5	2022June	2022-06	No	Yes	disease	NA	NA	71.1	4.1	0.08	0	0.9	0.01	0.42	0.34531596	0.17561285	NA	NA	NA	NA	0.01	0.025	0.035	0	0.08	0.336	0.0425	0.108	0.034	0.0475	0.226	0.145	FALSE
929	2021-01-19	Dittlif	Benthic	benthic	G2	61792	7.7	2021January	2021-01	No	Yes	disease	26.86	35.79	72.4	9.2	0.0782	0.3914	0.4923	0.0442	1.0514	0.2153219	0.14539799	6263	22624	643	494008	0	0.02666667	0	0	0.2225	0.225	0.025	0	0.14	0.035	0.185	0.16	FALSE
USVI128	2016-10-28	Dittlif	Surface	surface	L2	57830	0.5	2016October	2016-10	Yes	No	historic	29.54	35.75	82.926	5.886	0.0403	0.4196	1.3686	0.04	0.07	NA	NA	17044	54548	1223	621591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
443	2017-11-27	Ram Head	Benthic	benthic	F2	48952	6.1	2017November	2017-11	No	No	hurricane	NA	NA	80.3	8.984	0.1644	0.0904	2.4508	0.0261	0.0112	0.05462755	0.02594531	52256	59105	1209	733598	0	0	0.05	0	0.125	0.31666667	0.045	0	0.04833333	0.07	0.31	0.09	FALSE
USVI130	2016-10-28	Sand patch	Benthic	benthic	L2	58960	9.7	2016October	2016-10	Yes	No	historic	29.64	35.77	107.253	6.163	0.0468	0.1049	1.2341	0.0307	0.0963	0.317	NA	33188	119053	1434	838055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
904b	2021-01-17	Joels Shoal	Benthic	benthic	G2	43455	10	2021January	2021-01	No	Yes	disease	26.79	35.63	80.8	10.3	0.0741	0.0844	2.1116	0.0161	0.5645	0.3305299	0.13528311	20405	71143	1221	774535	0	0.01	0.04	0.05	0.09	0.06	0.08	0.0725	0.2575	0.1925	0.05	0.2075	FALSE
825	2020-08-07	Joels Shoal	Benthic	benthic	H2	45467	11.3	2020August	2020-08	No	Yes	disease	29.47	35.48	81.7	8.8	0.049	0.1705	2.2456	0.0258	0.3434	0.08877793	0.04313847	70762	15324	486	491224	0	0.044	0.045	0.015	0.066	0.066	0.048	0.306	0.124	0.144	0.0275	0.156	FALSE
952	2021-01-23	Tektite	Benthic	benthic	F2	46868	10	2021January	2021-01	No	Yes	disease	26.72	35.81	77.5	7.8	0.0908	0.4391	1.5008	0.0368	0.2902	0.22702753	0.11458452	16729	48256	670	518365	0	0.0225	0.18	0.045	0.28	0.3025	0.015	0.03333333	0.0325	0.0575	0.0475	0.045	FALSE
267	2017-03-26	Joels Shoal	Surface	surface	F2	45825	0.5	2017March	2017-03	Yes	No	historic	26.49	36.7	74.5	5.702	0.1839	0.2468	1.2425	0.0522	0.142	NA	NA	15905	70650	1927	619453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI173	2016-10-29	Europa	Surface	surface	L2	56769	0.5	2016October	2016-10	Yes	No	historic	29.7	35.72	102.836	6.225	0.0314	0.0435	1.5967	0.0757	0.0032	NA	NA	37238	122414	2377	812250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI111	2016-10-28	Booby Rock	Benthic	benthic	L2	49763	14.4	2016October	2016-10	Yes	No	historic	29.46	35.69	88.837	5.95	0.0412	0.021	1.8391	-0.0015	0.0438	0.37	NA	41723	97523	1969	740208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1012	2021-10-21	Cocoloba	Surface	surface	F2	47917	0.5	2021October	2021-10	No	Yes	disease	29.69365	34.85873	72.2	6.8	0.14	0.4	1.8	0.04	0.47	NA	NA	10216	45551	1484	645000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
810b	2020-08-06	Yawzi	Benthic	benthic	G2	39941	8.4	2020August	2020-08	No	Yes	disease	NA	NA	80.6	8	0.0575	-0.005	1.4052	0.0227	0.2312	0.22579536	0.07217851	39117	63094	932	632906	0	0.06	0.01	0.01666667	0.15166667	0.18666667	0.028	0.17833333	0.03666667	0.06	0.1266667	0.16333333	FALSE
USVI181	2016-10-29	Tektite	Benthic	benthic	L2	66240	9	2016October	2016-10	Yes	No	historic	29.52	35.72	96.504	6.097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI121	2016-10-28	Dittlif	Surface	surface	L2	61543	0.5	2016October	2016-10	Yes	No	historic	29.54	35.75	100.534	5.986	0.0456	0.3711	1.2441	0.0329	0.07	NA	NA	16383	53634	1069	603633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
913	2021-01-18	Booby Rock	Benthic	benthic	H2	56328	7.5	2021January	2021-01	No	Yes	disease	26.65	35.67	75.4	6.2	0.07	0.1147	1.9959	0.0169	1.2034	0.37827653	0.17532927	21233	72206	1287	825062	0	0.05	0	0.06	0.16	0.025	0.08	0.06	0.24	0.1025	0.06	0.325	FALSE
294	2017-03-27	Cocoloba	Surface	surface	H2	69199	0.5	2017March	2017-03	Yes	No	historic	26.63	36.68	70.959	6.108	0.17	0.2186	1.1372	0.0249	0.1884	NA	NA	18169	60117	2138	440494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
839	2020-08-08	Tektite	Surface	surface	G2	44170	0.5	2020August	2020-08	No	Yes	disease	29.69	35.7	78.3	7.1	0.0613	0.0052	1.9186	0.0243	0.3088	0.15836479	0.05256512	56042	29255	446	543550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
677	2018-11-06	Dittlif	Surface	surface	H2	48239	0.5	2018November	2018-11	No	No	hurricane	28.44	32.95	82.404	5.397	0.1701	1.2208	2.914	0.0631	0.279	NA	NA	16566	40711	3347	838069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
440	2017-11-27	Booby Rock	Surface	surface	F2	60246	0.5	2017November	2017-11	No	No	hurricane	NA	NA	73.386	9.397	0.1573	0.0971	2.6029	0.0288	0.1114	NA	NA	57755	43298	844	638072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1103	2022-06-24	Ram Head	Benthic	benthic	G2	59871	10.3	2022June	2022-06	No	Yes	disease	29.4	25.8	73.1	4.1	0.08	0.1	0.1	0.01	0.28	0.21131735	0.09064593	NA	NA	NA	NA	0	0	0.02	0	0.0275	0.29	0.0125	0.055	0.1	0.0175	0.06	0.615	FALSE
1010	2021-10-21	Cocoloba	Surface	surface	G2	63748	0.5	2021October	2021-10	No	Yes	disease	29.69365	34.85873	72.2	6.8	0.14	0.4	1.8	0.04	0.47	NA	NA	10216	45551	1484	645000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
412	2017-07-29	Ram Head	Benthic	benthic	F2	19570	8.67	2017July	2017-07	Yes	No	historic	29.26	35	82.599	8.238	0.1662	0.225	10.0506	-0.0126	0.2068	0.13465435	0.09581551	76598	25172	1266	567028	0	0	0.03666667	0	0.075	0.22333333	0.05	0.25	0.08666667	0.05666667	0.3316667	0.11	FALSE
245	2017-03-25	Ram Head	Surface	surface	H2	66901	0.5	2017March	2017-03	Yes	No	historic	26.52	36.88	70.722	5.966	0.1763	0.3152	1.2116	0.0172	0.1362	NA	NA	22148	55913	1223	493200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
478	2017-11-29	Joels Shoal	Benthic	benthic	H2	58969	9.44	2017November	2017-11	No	No	hurricane	28.03	34.8	NA	NA	0.1562	0.0093	2.6404	0.0195	0.045	0.14537564	0.0817555	48192	35100	717	480431	0.01	0.03	0.15	0	0.18166667	0.155	0.0325	0	0.20833333	0.065	0.275	0.155	FALSE
418	2017-07-29	Ram Head	Surface	surface	G2	50685	0.5	2017July	2017-07	Yes	No	historic	29.53	34.75	78.99	3.642	NA	NA	NA	NA	NA	NA	NA	88256	23752	1139	704714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI23	2016-06-10	Europa	Benthic	benthic	L2	39503	11.64	2016June	2016-06	Yes	No	historic	28.73	36.48	213.732	19.155	0.0336	0.1479	1.2249	0.0156	0.0198	0.574	NA	0	58641	13500	437920	0	0.01	0.03	0	0.095	0.42666667	0.025	0	0.06	0.04333333	0.3516667	0	FALSE
954	2021-01-24	Yawzi	Surface	surface	H2	59511	0.5	2021January	2021-01	No	Yes	disease	26.97	35.85	79.6	7.6	0.0825	0.0537	0.6522	-0.0024	0.8767	NA	NA	18068	72088	1405	735168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
421	2017-07-29	Booby Rock	Surface	surface	F2	27425	0.5	2017July	2017-07	Yes	No	historic	29.36	34.82	84.688	8.336	0.1817	0.1228	8.9676	-0.0063	0.2463	NA	NA	120263	32906	1111	834230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
660	2018-11-06	Joels Shoal	Benthic	benthic	H2	57345	16	2018November	2018-11	No	No	hurricane	28.57	33.42	82.584	3.38	0.1657	0.779	3.4203	0.0157	-0.0129	0.29611193	0.18630542	122470	111628	2123	885375	0.01	0.01666667	0	0.02	0.10833333	0.064	0.04333333	0.276	0.14833333	0.09166667	0.29	0.065	FALSE
1128	2022-06-27	Yawzi	Surface	surface	F2	60367	0.5	2022June	2022-06	No	Yes	disease	NA	NA	75.7	7.2	0.08	0	0.7	0.01	0.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
464	2017-11-29	Joels Shoal	Surface	surface	H2	52982	0.5	2017November	2017-11	No	No	hurricane	28.04	34.8	76.272	9.427	0.1507	0.041	2.5019	0.0058	0.2486	NA	NA	60525	41822	816	538678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1123	2022-06-24	Booby Rock	Benthic	benthic	F2	46959	16	2022June	2022-06	No	Yes	disease	28.64	35.79	71.4	4.5	0.11	0.1	0.3	0.01	0.24	0.28986825	0.14404241	NA	NA	NA	NA	0.01	0.045	0.02	0	0.07	0.275	0.01	0.1275	0.155	0.055	0.15	0.125	FALSE
475	2017-11-29	Europa	Benthic	benthic	G2	61162	7.47	2017November	2017-11	No	No	hurricane	28.16	34.75	76.988	7.333	0.1669	0.1537	2.3327	0.021	0.0451	0.27077649	0.21128926	55589	47813	3009	519511	0	0.02	0	0	0.105	0.53666667	0	0	0.02	0.02333333	0.23	0.12333333	FALSE
271	2017-03-26	Sand patch	Surface	surface	F2	53123	0.5	2017March	2017-03	Yes	No	historic	26.46	36.71	86.286	6.466	0.1687	0.1919	1.1806	0.0299	0.0903	NA	NA	19364	66994	1420	504591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
869	2020-08-09	Europa	Benthic	benthic	F2	50366	9.2	2020August	2020-08	No	Yes	disease	29.42	35.83	76.7	6.9	0.0691	0.2319	2.1174	0.054	0.5471	0.18574979	0.0944073	19959	29085	630	577992	0	0.0225	0.02333333	0.06	0.09	0.52666667	0.01666667	0.072	0.03	0.06166667	0.1025	0.12333333	FALSE
250	2017-03-25	Tektite	Surface	surface	G2	76266	0.5	2017March	2017-03	Yes	No	historic	26.57	36.68	76.803	6.212	0.1762	0.2785	1.3567	0.0469	0.1494	NA	NA	25594	65559	1406	637284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
382	2017-07-28	Cocoloba	Benthic	benthic	H2	61161	7.53	2017July	2017-07	Yes	No	historic	29.33	35.07	76.72	3.256	0.1653	0.1805	2.0307	0.0561	0.1022	0.17728426	0.10309831	62184	36366	2334	753469	0	0.03	0.03	0	0.065	0.46333333	0.015	0.01	0.05166667	0.01	0.31	0.08333333	FALSE
420	2017-07-29	Ram Head	Surface	surface	H2	54994	0.5	2017July	2017-07	Yes	No	historic	29.53	34.75	78.99	3.642	NA	NA	NA	NA	NA	NA	NA	88256	23752	1139	704714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI19	2016-06-10	Yawzi	Surface	surface	L2	56445	0.5	2016June	2016-06	Yes	No	historic	28.88	36.38	72.751	5.555	0.0366	0.0306	1.0214	0.0109	0.1477	0.135	NA	71930	50302	1336	645314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
532	2018-04-11	Booby Rock	Benthic	benthic	F2	47228	9.8	2018April	2018-04	No	No	hurricane	27.18	36.45	72.872	7.161	0.1673	0.0791	1.4227	0.0324	0.1888	0.20472566	0.08783022	67191	61355	1209	519131	0	0.08	0	0.01	0.12666667	0.33833333	0.0225	0.082	0.13333333	0.0225	0.1716667	0.1725	FALSE
263	2017-03-26	Sand patch	Benthic	benthic	G2	72911	8.55	2017March	2017-03	Yes	No	historic	26.41	36.69	79.907	5.518	0.1712	0.2336	1.1001	0.0176	0.197	0.21927599	0.15198802	11278	39980	1336	463711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI129	2016-10-28	Ram Head	Benthic	benthic	L2	52056	10.9	2016October	2016-10	Yes	No	historic	29.5	34.3	84.713	6.663	0.0442	0.4144	1.3494	0.0254	0.0525	0.372	NA	25495	82463	1716	619439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
588	2018-04-13	Cocoloba	Benthic	benthic	H2	54015	6.4	2018April	2018-04	No	No	hurricane	27.28	36.55	76.8	6.45	0.2565	0.0241	2.2142	0.0472	0.5774	0.18406232	0.12607262	27731	60398	3136	455822	0	0	0	0	0.1	0.49333333	0	0	0.04	0.01	0.3016667	0.15333333	FALSE
330	2017-07-27	Joels Shoal	Benthic	benthic	H2	62080	8.57	2017July	2017-07	Yes	No	historic	29.04	35.07	77.423	3.79	0.1599	0.0884	2.1429	0.0606	-0.0004	0.14805597	0.08345005	143452	33145	2686	828914	0	0.01	0.01	0	0.14166667	0.03666667	0.028	0.20666667	0.30666667	0.12	0.14	0.02	FALSE
925	2021-01-19	Dittlif	Surface	surface	F2	54684	0.5	2021January	2021-01	No	Yes	disease	26.84	35.79	69.9	8.1	0.0744	0.2705	0.6654	0.0336	0.5011	NA	NA	3821	15547	368	492130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
